t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,0.3966055,0.09319963,0.9699246,0.8900725
0.0499906,0.5237532,0.017135,0.9699246,0.8836133
0.1006233,0.5237532,-0.004596607,0.9699246,0.8771542
0.149522,0.3966055,-0.1023928,0.9699246,0.8642358
0.1994846,0.3966055,-0.2436603,0.9699246,0.7867259
0.2507611,0.6509008,-0.3523263,0.9699246,0.8319401
0.298958,0.5237532,-0.3197249,0.9697599,0.8706951
0.3501664,0.5237532,-0.4501226,0.9700893,0.8642358
0.3991647,0.5237532,-0.5261872,0.9699246,0.8706951
0.4492718,0.5237532,-0.6457151,0.9699246,0.8642358
0.500353,0.6509008,-0.7761127,0.9699246,0.8706951
0.5491643,0.5237532,-0.8521773,0.9699246,0.8771542
0.6005205,0.3966055,-0.92825,0.9697599,0.8771542
0.6490136,0.5237532,-0.9825749,0.9699246,0.8965316
0.6991621,0.5237532,-0.9934448,0.9699246,0.9159091
0.7506617,0.5237532,-1.047778,0.9699246,0.9029908
0.7993011,0.5237532,-1.145574,0.9699246,0.8965316
0.8499697,0.5237532,-1.178175,0.9699246,0.8836133
0.8998764,0.5237532,-1.178175,0.9699246,0.8836133
0.9498534,0.5237532,-1.210777,0.9699246,0.8642358
0.9998084,0.5237532,-1.221639,0.9699246,0.8061033
1.04987,0.6509008,-1.221639,0.9699246,0.8125626
1.100616,0.6509008,-1.134712,0.9699246,0.8577767
1.148862,0.5237532,-1.167306,0.9699246,0.8642358
1.199987,0.5237532,-1.091241,0.9699246,0.8642358
1.250159,0.5237532,-0.9391118,0.9697599,0.8706951
1.299875,0.5237532,-0.6457151,0.9697599,0.8706951
1.350872,0.5237532,-0.3849197,0.9699246,0.8836133
1.399659,0.5237532,-0.2871235,0.9699246,0.9029908
1.449485,0.5237532,-0.1784575,0.9699246,0.90945
1.499855,0.5237532,0.006273206,0.9699246,0.9029908
1.549659,0.5237532,0.1584025,0.9699246,0.8965316
1.60085,0.5237532,0.2888001,0.9700893,0.8836133
1.648981,0.5237532,0.3539949,0.9699246,0.8836133
1.699338,0.3966055,0.4843926,0.9699246,0.8642358
1.750293,0.3966055,0.571327,0.9700893,0.7996442
1.799008,0.5237532,0.5061322,0.9697599,0.8254809
1.850657,0.3966055,0.5604652,0.9697599,0.8642358
1.898871,0.5237532,0.7125944,0.9699246,0.8642358
1.949586,0.3966055,0.7560577,0.9699246,0.8642358
2.000865,0.3966055,0.8429921,0.9697599,0.8577767
2.048858,0.5237532,0.8864553,0.9699246,0.8771542
2.100623,0.6509008,1.016853,0.9699246,0.8706951
2.14928,0.5237532,1.049454,0.9699246,0.8836133
2.199386,0.5237532,1.038585,0.9699246,0.8836133
2.250636,0.5237532,1.071186,0.9697599,0.8965316
2.299723,0.5237532,1.15812,0.9699246,0.90945
2.350464,0.3966055,1.190714,0.9699246,0.8965316
2.399979,0.6509008,1.103787,0.9699246,0.8900725
2.449282,0.3966055,1.005991,0.9699246,0.8900725
2.500611,0.5237532,0.9299185,0.9699246,0.8706951
2.549281,0.5237532,0.8973252,0.9699246,0.8577767
2.600003,0.5237532,0.8429921,0.9699246,0.793185
2.648889,0.5237532,0.7995209,0.9699246,0.8319401
2.698829,0.3966055,0.7886591,0.9699246,0.8706951
2.751002,0.3966055,0.7669275,0.9700893,0.8577767
2.799356,0.3966055,0.6039284,0.9697599,0.8642358
2.85068,0.6509008,0.5278638,0.9697599,0.8577767
2.899076,0.5237532,0.5387256,0.9699246,0.8642358
2.949783,0.6509008,0.4409294,0.9699246,0.8706951
3.000466,0.3966055,0.3322633,0.9699246,0.8771542
3.049279,0.5237532,0.2344671,0.9697599,0.8771542
3.100581,0.5237532,0.1692643,0.9699246,0.8771542
3.14973,0.5237532,0.006273206,0.9699246,0.9029908
3.199476,0.5237532,-0.09153105,0.9699246,0.9029908
3.250275,0.6509008,-0.1567259,0.9699246,0.8965316
3.298952,0.6509008,-0.1349943,0.9699246,0.8965316
